# Fault Occurred At: 2026-07-30T15:10:12.439+0900
# Robot: M v1.3
# SDK Version: 0.9.1
# Log Duration: 5 sec
# Joint Names: wheel_fr,wheel_fl,wheel_rr,wheel_rl,torso_0,torso_1,torso_2,torso_3,torso_4,torso_5,right_arm_0,right_arm_1,right_arm_2,right_arm_3,right_arm_4,right_arm_5,right_arm_6,left_arm_0,left_arm_1,left_arm_2,left_arm_3,left_arm_4,left_arm_5,left_arm_6,head_0,head_1
# Power State: 0=Unknown, 1=Power On, 2=Power Off
# Control Manager State: 0=Idle, 1=Enabled, 2=Minor Fault, 3=Major Fault
# Control State: 0=Idle, 1=Executing, 2=Switching
timestamp,power_5v,power_12v,power_24v,power_48v,control_manager_state,control_state,wheel_fr_state,wheel_fl_state,wheel_rr_state,wheel_rl_state,torso_0_state,torso_1_state,torso_2_state,torso_3_state,torso_4_state,torso_5_state,right_arm_0_state,right_arm_1_state,right_arm_2_state,right_arm_3_state,right_arm_4_state,right_arm_5_state,right_arm_6_state,left_arm_0_state,left_arm_1_state,left_arm_2_state,left_arm_3_state,left_arm_4_state,left_arm_5_state,left_arm_6_state,head_0_state,head_1_state,wheel_fr_pos,wheel_fl_pos,wheel_rr_pos,wheel_rl_pos,torso_0_pos,torso_1_pos,torso_2_pos,torso_3_pos,torso_4_pos,torso_5_pos,right_arm_0_pos,right_arm_1_pos,right_arm_2_pos,right_arm_3_pos,right_arm_4_pos,right_arm_5_pos,right_arm_6_pos,left_arm_0_pos,left_arm_1_pos,left_arm_2_pos,left_arm_3_pos,left_arm_4_pos,left_arm_5_pos,left_arm_6_pos,head_0_pos,head_1_pos,wheel_fr_vel,wheel_fl_vel,wheel_rr_vel,wheel_rl_vel,torso_0_vel,torso_1_vel,torso_2_vel,torso_3_vel,torso_4_vel,torso_5_vel,right_arm_0_vel,right_arm_1_vel,right_arm_2_vel,right_arm_3_vel,right_arm_4_vel,right_arm_5_vel,right_arm_6_vel,left_arm_0_vel,left_arm_1_vel,left_arm_2_vel,left_arm_3_vel,left_arm_4_vel,left_arm_5_vel,left_arm_6_vel,head_0_vel,head_1_vel,wheel_fr_cur,wheel_fl_cur,wheel_rr_cur,wheel_rl_cur,torso_0_cur,torso_1_cur,torso_2_cur,torso_3_cur,torso_4_cur,torso_5_cur,right_arm_0_cur,right_arm_1_cur,right_arm_2_cur,right_arm_3_cur,right_arm_4_cur,right_arm_5_cur,right_arm_6_cur,left_arm_0_cur,left_arm_1_cur,left_arm_2_cur,left_arm_3_cur,left_arm_4_cur,left_arm_5_cur,left_arm_6_cur,head_0_cur,head_1_cur,wheel_fr_tq,wheel_fl_tq,wheel_rr_tq,wheel_rl_tq,torso_0_tq,torso_1_tq,torso_2_tq,torso_3_tq,torso_4_tq,torso_5_tq,right_arm_0_tq,right_arm_1_tq,right_arm_2_tq,right_arm_3_tq,right_arm_4_tq,right_arm_5_tq,right_arm_6_tq,left_arm_0_tq,left_arm_1_tq,left_arm_2_tq,left_arm_3_tq,left_arm_4_tq,left_arm_5_tq,left_arm_6_tq,head_0_tq,head_1_tq,wheel_fr_target_pos,wheel_fl_target_pos,wheel_rr_target_pos,wheel_rl_target_pos,torso_0_target_pos,torso_1_target_pos,torso_2_target_pos,torso_3_target_pos,torso_4_target_pos,torso_5_target_pos,right_arm_0_target_pos,right_arm_1_target_pos,right_arm_2_target_pos,right_arm_3_target_pos,right_arm_4_target_pos,right_arm_5_target_pos,right_arm_6_target_pos,left_arm_0_target_pos,left_arm_1_target_pos,left_arm_2_target_pos,left_arm_3_target_pos,left_arm_4_target_pos,left_arm_5_target_pos,left_arm_6_target_pos,head_0_target_pos,head_1_target_pos,wheel_fr_target_vel,wheel_fl_target_vel,wheel_rr_target_vel,wheel_rl_target_vel,torso_0_target_vel,torso_1_target_vel,torso_2_target_vel,torso_3_target_vel,torso_4_target_vel,torso_5_target_vel,right_arm_0_target_vel,right_arm_1_target_vel,right_arm_2_target_vel,right_arm_3_target_vel,right_arm_4_target_vel,right_arm_5_target_vel,right_arm_6_target_vel,left_arm_0_target_vel,left_arm_1_target_vel,left_arm_2_target_vel,left_arm_3_target_vel,left_arm_4_target_vel,left_arm_5_target_vel,left_arm_6_target_vel,head_0_target_vel,head_1_target_vel,wheel_fr_target_fb_gain,wheel_fl_target_fb_gain,wheel_rr_target_fb_gain,wheel_rl_target_fb_gain,torso_0_target_fb_gain,torso_1_target_fb_gain,torso_2_target_fb_gain,torso_3_target_fb_gain,torso_4_target_fb_gain,torso_5_target_fb_gain,right_arm_0_target_fb_gain,right_arm_1_target_fb_gain,right_arm_2_target_fb_gain,right_arm_3_target_fb_gain,right_arm_4_target_fb_gain,right_arm_5_target_fb_gain,right_arm_6_target_fb_gain,left_arm_0_target_fb_gain,left_arm_1_target_fb_gain,left_arm_2_target_fb_gain,left_arm_3_target_fb_gain,left_arm_4_target_fb_gain,left_arm_5_target_fb_gain,left_arm_6_target_fb_gain,head_0_target_fb_gain,head_1_target_fb_gain,wheel_fr_target_ff_tq,wheel_fl_target_ff_tq,wheel_rr_target_ff_tq,wheel_rl_target_ff_tq,torso_0_target_ff_tq,torso_1_target_ff_tq,torso_2_target_ff_tq,torso_3_target_ff_tq,torso_4_target_ff_tq,torso_5_target_ff_tq,right_arm_0_target_ff_tq,right_arm_1_target_ff_tq,right_arm_2_target_ff_tq,right_arm_3_target_ff_tq,right_arm_4_target_ff_tq,right_arm_5_target_ff_tq,right_arm_6_target_ff_tq,left_arm_0_target_ff_tq,left_arm_1_target_ff_tq,left_arm_2_target_ff_tq,left_arm_3_target_ff_tq,left_arm_4_target_ff_tq,left_arm_5_target_ff_tq,left_arm_6_target_ff_tq,head_0_target_ff_tq,head_1_target_ff_tq
818.846,1,1,1,1,1,0,7,7,7,7,7,39,39,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.427,0.192,0.044,0.458,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.071,-0.026,0.144,-0.030,-0.100,-34.840,-3.420,-7.379,-0.259,0.611,0.232,-0.358,0.014,-1.381,0.055,0.043,-0.276,0.404,0.640,-0.037,-1.328,0.215,-0.519,-0.082,0.575,0.102,0.085,-0.031,0.173,-0.036,-1.515,-527.826,-51.813,-74.528,-2.616,6.171,2.343,-3.616,0.141,-13.948,0.302,0.236,-2.310,4.080,6.464,-0.374,-13.413,1.182,-2.855,-0.686,3.162,0.561,0.427,0.193,0.044,0.459,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-7.716,-257.631,-53.577,-82.653,-2.454,0.823,-2.857,-4.179,-2.523,-10.971,0.105,-1.010,-0.285,-0.651,4.170,3.729,-11.427,-0.009,-1.250,0.300,0.135,-0.711
818.848,1,1,1,1,1,0,7,7,7,7,7,39,39,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.427,0.192,0.044,0.458,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.071,-0.026,0.144,-0.030,-0.120,-34.840,-3.410,-7.374,-0.259,0.611,0.236,-0.357,0.022,-1.381,0.055,0.043,-0.276,0.411,0.645,-0.039,-1.325,0.215,-0.519,-0.082,0.576,0.100,0.085,-0.031,0.173,-0.036,-1.818,-527.826,-51.661,-74.477,-2.616,6.171,2.384,-3.606,0.222,-13.948,0.302,0.236,-2.310,4.151,6.515,-0.394,-13.383,1.182,-2.855,-0.686,3.168,0.550,0.427,0.193,0.044,0.459,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-7.716,-257.631,-53.577,-82.653,-2.454,0.823,-2.857,-4.179,-2.523,-10.971,0.105,-1.010,-0.285,-0.651,4.170,3.729,-11.427,-0.009,-1.250,0.300,0.135,-0.711
818.850,1,1,1,1,1,0,7,7,7,7,7,39,39,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.427,0.192,0.044,0.458,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.071,-0.026,0.144,-0.030,-0.150,-34.830,-3.420,-7.369,-0.263,0.617,0.236,-0.347,0.022,-1.380,0.056,0.042,-0.277,0.414,0.647,-0.043,-1.328,0.214,-0.518,-0.081,0.577,0.102,0.085,-0.031,0.173,-0.036,-2.272,-527.674,-51.813,-74.427,-2.656,6.232,2.384,-3.505,0.222,-13.938,0.308,0.231,-2.318,4.181,6.535,-0.434,-13.413,1.177,-2.849,-0.678,3.173,0.561,0.427,0.193,0.044,0.459,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-7.716,-257.631,-53.577,-82.653,-2.454,0.823,-2.857,-4.179,-2.523,-10.971,0.105,-1.010,-0.285,-0.651,4.170,3.729,-11.427,-0.009,-1.250,0.300,0.135,-0.711
818.852,1,1,1,1,1,0,7,7,7,7,7,39,39,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.427,0.192,0.044,0.458,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.071,-0.026,0.073,0.006,-0.110,-34.820,-3.410,-7.374,-0.263,0.617,0.239,-0.354,0.014,-1.381,0.056,0.044,-0.277,0.412,0.646,-0.041,-1.328,0.210,-0.520,-0.085,0.577,0.095,0.085,-0.031,0.088,0.007,-1.666,-527.523,-51.661,-74.477,-2.656,6.232,2.414,-3.575,0.141,-13.948,0.308,0.242,-2.318,4.161,6.525,-0.414,-13.413,1.155,-2.860,-0.711,3.173,0.522,0.427,0.193,0.044,0.459,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-7.716,-257.631,-53.577,-82.653,-2.454,0.823,-2.857,-4.179,-2.523,-10.971,0.105,-1.010,-0.285,-0.651,4.170,3.729,-11.427,-0.009,-1.250,0.300,0.135,-0.711
818.854,1,1,1,1,1,0,7,7,7,7,7,39,39,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.427,0.192,0.044,0.458,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.071,-0.010,0.073,0.006,-0.130,-34.840,-3.430,-7.383,-0.261,0.622,0.243,-0.351,0.009,-1.381,0.056,0.044,-0.277,0.410,0.646,-0.037,-1.328,0.210,-0.520,-0.085,0.575,0.104,0.085,-0.012,0.088,0.007,-1.969,-527.826,-51.965,-74.568,-2.636,6.282,2.454,-3.545,0.091,-13.948,0.308,0.242,-2.318,4.141,6.525,-0.374,-13.413,1.155,-2.860,-0.711,3.162,0.572,0.427,0.193,0.044,0.459,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-7.716,-257.631,-53.577,-82.653,-2.454,0.823,-2.857,-4.179,-2.523,-10.971,0.105,-1.010,-0.285,-0.651,4.170,3.729,-11.427,-0.009,-1.250,0.300,0.135,-0.711
818.856,1,1,1,1,1,0,7,7,7,7,7,39,39,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.427,0.192,0.044,0.458,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.020,-0.010,0.073,0.006,-0.150,-34.830,-3.410,-7.376,-0.261,0.622,0.240,-0.356,0.017,-1.381,0.055,0.042,-0.277,0.411,0.646,-0.034,-1.329,0.216,-0.516,-0.087,0.574,0.100,-0.024,-0.012,0.088,0.007,-2.272,-527.674,-51.661,-74.498,-2.636,6.282,2.424,-3.596,0.172,-13.948,0.302,0.231,-2.318,4.151,6.525,-0.343,-13.423,1.188,-2.838,-0.728,3.157,0.550,0.427,0.193,0.044,0.459,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-7.716,-257.631,-53.577,-82.653,-2.454,0.823,-2.857,-4.179,-2.523,-10.971,0.105,-1.010,-0.285,-0.651,4.170,3.729,-11.427,-0.009,-1.250,0.300,0.135,-0.711
818.858,1,1,1,1,1,0,7,7,7,7,7,39,39,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.427,0.192,0.044,0.458,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.020,-0.010,0.073,0.006,-0.110,-34.820,-3.410,-7.374,-0.259,0.610,0.246,-0.352,0.019,-1.383,0.055,0.042,-0.275,0.413,0.643,-0.039,-1.329,0.215,-0.516,-0.083,0.579,0.101,-0.024,-0.012,0.088,0.007,-1.666,-527.523,-51.661,-74.477,-2.616,6.161,2.485,-3.555,0.192,-13.968,0.302,0.231,-2.302,4.171,6.494,-0.394,-13.423,1.182,-2.838,-0.695,3.184,0.555,0.427,0.193,0.044,0.459,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-7.716,-257.631,-53.577,-82.653,-2.454,0.823,-2.857,-4.179,-2.523,-10.971,0.105,-1.010,-0.285,-0.651,4.170,3.729,-11.427,-0.009,-1.250,0.300,0.135,-0.711
818.860,1,1,1,1,1,0,7,7,7,7,7,39,39,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.427,0.192,0.044,0.458,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.020,-0.010,0.073,0.006,-0.100,-34.830,-3.410,-7.383,-0.259,0.610,0.244,-0.354,0.017,-1.384,0.056,0.041,-0.276,0.410,0.644,-0.040,-1.329,0.214,-0.513,-0.084,0.581,0.100,-0.024,-0.012,0.088,0.007,-1.515,-527.674,-51.661,-74.568,-2.616,6.161,2.464,-3.575,0.172,-13.978,0.308,0.226,-2.310,4.141,6.504,-0.404,-13.423,1.177,-2.821,-0.703,3.196,0.550,0.427,0.193,0.044,0.459,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-7.716,-257.631,-53.577,-82.653,-2.454,0.823,-2.857,-4.179,-2.523,-10.971,0.105,-1.010,-0.285,-0.651,4.170,3.729,-11.427,-0.009,-1.250,0.300,0.135,-0.711
818.862,1,1,1,1,1,0,7,7,7,7,7,39,39,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.427,0.192,0.044,0.458,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.020,-0.010,0.073,0.006,-0.140,-34.840,-3.410,-7.380,-0.268,0.618,0.248,-0.365,0.023,-1.384,0.056,0.041,-0.276,0.402,0.646,-0.042,-1.329,0.214,-0.513,-0.084,0.577,0.102,-0.024,-0.012,0.088,0.007,-2.121,-527.826,-51.661,-74.538,-2.707,6.242,2.505,-3.687,0.232,-13.978,0.308,0.226,-2.310,4.060,6.525,-0.424,-13.423,1.177,-2.821,-0.703,3.173,0.561,0.427,0.193,0.044,0.459,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-7.716,-257.631,-53.577,-82.653,-2.454,0.823,-2.857,-4.179,-2.523,-10.971,0.105,-1.010,-0.285,-0.651,4.170,3.729,-11.427,-0.009,-1.250,0.300,0.135,-0.711
818.864,1,1,1,1,1,0,7,7,7,7,7,39,39,39,7,7,7,7,7,39,7,7,7,7,7,7,39,7,7,7,39,7,0.427,0.192,0.044,0.458,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.020,-0.033,0.107,-0.034,-0.110,-34.840,-3.410,-7.385,-0.268,0.618,0.244,-0.366,0.019,-1.378,0.055,0.041,-0.277,0.402,0.640,-0.039,-1.326,0.214,-0.516,-0.087,0.574,0.098,-0.024,-0.040,0.128,-0.041,-1.666,-527.826,-51.661,-74.589,-2.707,6.242,2.464,-3.697,0.192,-13.918,0.302,0.226,-2.318,4.060,6.464,-0.394,-13.393,1.177,-2.838,-0.728,3.157,0.539,0.427,0.193,0.044,0.459,0.005,1.371,-1.541,0.791,0.024,0.251,-0.107,-0.321,-0.184,-1.820,0.003,0.607,-0.022,0.018,0.262,-0.099,-2.317,0.071,0.553,-0.081,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.000,0.000,0.000,0.000,-7.716,-257.631,-53.577,-82.653,-2.454,0.823,-2.857,-4.179,-2.523,-10.971,0.105,-1.010,-0.285,-0.651,4.170,3.729,-11.427,-0.009,-1.250,0.300,0.135,-0.711
